declaration_id,declaration_of_emergency,length_of_declaration,time_frame_id
1,2013-05-01 00:00:00,4,1
2,2013-05-02 00:00:00,9,2
3,2013-06-02 00:00:00,8,3
4,2013-08-06 00:00:00,5,4
5,2013-08-08 00:00:00,6,5
6,2013-08-23 00:00:00,19,6
7,2013-08-23 00:00:00,19,7
8,2013-08-29 00:00:00,3,8
9,2013-09-10 00:00:00,5,9
10,2013-12-13 00:00:00,68,10
11,2014-01-16 00:00:00,6,11
12,2014-05-14 00:00:00,3,12
13,2014-05-14 00:00:00,8,13
14,2014-07-02 00:00:00,5,14
15,2014-08-02 00:00:00,15,15
16,2014-08-02 00:00:00,8,16
17,2014-08-03 00:00:00,7,17
18,2014-08-03 00:00:00,7,18
19,2014-08-03 00:00:00,8,19
20,2014-08-19 00:00:00,4,20
21,2014-08-19 00:00:00,5,21
22,2014-08-25 00:00:00,4,22
23,2014-09-05 00:00:00,5,23
24,2014-09-11 00:00:00,14,24
25,2014-09-11 00:00:00,14,25
26,2014-09-14 00:00:00,6,26
27,2014-09-15 00:00:00,12,27
28,2014-09-17 00:00:00,20,28
29,2014-10-08 00:00:00,5,29
30,2015-01-27 00:00:00,2,30
31,2015-07-17 00:00:00,4,31
32,2015-07-23 00:00:00,11,32
33,2015-07-23 00:00:00,11,33
34,2015-07-23 00:00:00,11,34
35,2015-08-02 00:00:00,17,35
36,2015-09-10 00:00:00,23,36
37,2015-09-10 00:00:00,23,37
38,2015-09-13 00:00:00,23,38
39,2015-09-13 00:00:00,23,39
40,2015-09-13 00:00:00,23,40
41,2015-09-22 00:00:00,51,41
42,2015-09-22 00:00:00,51,42
43,2016-06-05 00:00:00,6,43
44,2016-06-19 00:00:00,10,44
45,2016-06-21 00:00:00,10,45
46,2016-06-24 00:00:00,13,46
47,2016-07-09 00:00:00,5,47
48,2016-07-23 00:00:00,10,48
49,2016-07-28 00:00:00,75,49
50,2016-07-31 00:00:00,9,50
51,2016-08-08 00:00:00,9,51
52,2016-08-14 00:00:00,9,52
53,2016-08-14 00:00:00,24,53
54,2016-08-16 00:00:00,6,54
55,2016-08-22 00:00:00,23,55
56,2016-08-22 00:00:00,23,56
57,2017-07-09 00:00:00,10,57
58,2017-07-17 00:00:00,16,58
59,2017-09-01 00:00:00,26,59
60,2017-09-02 00:00:00,9,60
61,2017-09-02 00:00:00,17,61
62,2017-09-02 00:00:00,17,62
63,2017-09-04 00:00:00,11,63
64,2017-09-05 00:00:00,21,64
65,2017-09-26 00:00:00,7,65
66,2017-09-26 00:00:00,7,66
67,2017-10-09 00:00:00,NULL,67
68,2017-10-09 00:00:00,NULL,68
69,2017-10-09 00:00:00,NULL,69
70,2017-10-09 00:00:00,NULL,70
71,2017-10-09 00:00:00,NULL,71
72,2017-10-09 00:00:00,NULL,72
73,2017-10-09 00:00:00,NULL,73
74,2017-10-09 00:00:00,NULL,74
75,2017-10-09 00:00:00,NULL,75
76,2017-10-09 00:00:00,NULL,76
77,2017-10-09 00:00:00,NULL,77
78,2017-10-09 00:00:00,NULL,78
79,2017-10-09 00:00:00,NULL,79
80,2017-10-09 00:00:00,11,80
81,2017-10-09 00:00:00,11,81
82,2017-10-10 00:00:00,23,82
83,2017-10-10 00:00:00,23,83
84,2017-10-10 00:00:00,23,84
85,2017-10-10 00:00:00,23,85
86,2017-10-10 00:00:00,23,86
87,2017-10-10 00:00:00,23,87
88,2017-10-10 00:00:00,23,88
89,2017-10-10 00:00:00,23,89
90,2017-10-10 00:00:00,23,90
91,2017-12-05 00:00:00,NULL,91
92,2017-12-05 00:00:00,NULL,92
93,2017-12-05 00:00:00,9,93
94,2017-12-05 00:00:00,9,94
95,2017-12-06 00:00:00,9,95
96,2017-12-07 00:00:00,9,96
97,2017-12-08 00:00:00,25,97
98,2017-12-08 00:00:00,25,98
99,2017-12-08 00:00:00,25,99
100,2017-12-08 00:00:00,25,100
101,2017-12-08 00:00:00,25,101
102,2018-01-02 00:00:00,58,102
103,2018-01-02 00:00:00,58,103
104,2018-01-02 00:00:00,58,104
105,2018-01-02 00:00:00,58,105
106,2018-06-24 00:00:00,12,106
107,2018-06-25 00:00:00,5,107
108,2018-07-05 00:00:00,11,108
109,2018-07-06 00:00:00,3,109
110,2018-07-07 00:00:00,3,110
111,2018-07-23 00:00:00,16,111
112,2018-07-23 00:00:00,16,112
113,2018-07-25 00:00:00,7,113
114,2018-07-28 00:00:00,58,114
115,2018-07-28 00:00:00,22,115
116,2018-07-28 00:00:00,22,116
117,2018-07-28 00:00:00,22,117
118,2018-08-04 00:00:00,58,118
119,2018-08-04 00:00:00,58,119
120,2018-08-09 00:00:00,9,120
121,2018-11-08 00:00:00,NULL,121
122,2018-11-08 00:00:00,NULL,122
123,2018-11-09 00:00:00,17,123
124,2018-11-09 00:00:00,17,124
125,2018-11-09 00:00:00,17,125
126,2018-11-09 00:00:00,NULL,126
127,2018-11-09 00:00:00,NULL,127
128,2018-11-12 00:00:00,17,128
129,2018-11-12 00:00:00,17,129
130,2018-11-12 00:00:00,17,130
131,2019-07-08 00:00:00,8,131
132,2019-07-08 00:00:00,8,132
